id,order_index,question_text
0f620fd5-626b-4a2e-a0ab-bcb6a6db8238,3,"Your phone keeps lighting up with new updates, but they don't match each other. One source says it's safe to stay, another urges you to leave immediately.

How do you decide what's really happening?"
1ce7dcd5-39cc-43c7-a883-d127cd3d038e,15,"Finally, you arrive somewhere safely, but things still remain very uncertain. In this moment, how much do you trust yourself to make the right decision and keep yourself safe?"
27c438db-e4dc-4d89-bb16-796c674fa81d,4,"Your phone buzzes again with another official alert: 
    
Evacuation is now mandatory. You have two hours to get to the assembly point A. 

Private cars are not recommended. You look around your home, it's time to make the decision.

What do you do?"
2dab8d55-7958-44f6-a547-a43f6b7c5efc,6,"The official message was clear: take the public transport to avoid the traffic congestion. But as you look at your car, you realize you could bring everything you need. Meanwhile, if using public transport, you can only carry a limited number of luggages.

What would you do?"
3cb3dfd5-28dc-43f5-9ef2-3029b3f05781,7,"You are about to leave, but suddenly, you hear someone calling for help somewhere. If you offer the help, you might lose time to leave.

What do you do?"
8138467a-9e6a-46ed-ac5c-aa51d8d800d7,13,"When you finally reach your destination, the municipality does not accept people anymore. 
    
What do you do?"
96b32aff-2ec7-4324-96bd-4df9db09f551,9,"While waiting, you notice others carrying more than the allowed bags. Staff are busy, and no one is watching.

What do you do?"
a68b929c-9522-4fc2-b348-646586d18273,8,"Later, you arrive at the assembly point. The buses are filling up fast and it seems that not everyone will get a spot today. Suddenly, someone ahead of you gave up their place. 
    
What do you do?"
b045d423-9856-453b-98f5-7d11d1af44b7,10,"When it's finally your turn, unfortunately no more buses are available. There is a neighboring family offering you a ride, but their destination is different from yours. They offer to drop you as close as possible along the way.

What do you do?"
b68c7448-6912-444a-84ad-bc198a165f27,12,"Fortunately, your vehicle works again. After several hours of driving towards the destination, you discovered that there's another faster route. However, there is an official warning against using it.

What do you do?"
be7bf6f1-30e7-4d16-a1d5-c7138f2f7cb0,11,"Now, you are on the road heading toward your destination. For a moment, it feels like everything goes well after all. But suddenly, the vehicle stops and cannot start anymore. 

What do you do?"
dab4be99-b386-4a76-a81f-1869bcc49cd4,5,"You have been preparing, your bag is half packed. Another alert pops up: 
    
Your region is in a high risk level, please leave now! 

What might happen in the next 10 minutes?"
e755dcfa-e6b9-4784-9281-7b047e9e18b6,2,"It seems that your current location is not safe anymore and you might have to evacuate.

What is the best destination that you think of?"
e7c59f31-e58b-4016-afe8-43cf6b23289e,1,"You wake up and something feels a little off today. There have been rumors of military movements recently, and now your phone sends an official alert.

The security situation in your area has escalated. No immediate action is required at this time. Stay alert and follow official updates.

Which of these would you do?"
fb464f5a-ba92-494a-bde0-25bbfca054ea,14,"You are standing on an unfamiliar location with your bag. People around you are confused and trying to figure out where to go next.

What would you do?"